Classic Editor;https://ru.wordpress.org/plugins/classic-editor/;1162
Akismet Anti-spam: Spam Protection;https://ru.wordpress.org/plugins/akismet/;1007
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;1997
Classic Widgets;https://ru.wordpress.org/plugins/classic-widgets/;246
